word,count
close.,2
(10p/min),3
panasonic,1
sullivan,1
pix!,1
cornwall,2
show,4
18+only,1
08718725756.,1
08712402972,1
�54.,1
mtalk,2
2ez,1
30,2
code,15
786,4
today.,2
0844,2
phones.,2
help?,4
fantastic,7
down?,1
videophones,5
club>>,1
instructions,1
m8?,2
town.,1
151.,1
http//www.gr8prizes.com,1
ringtone,24
t-mobile,2
85.,2
09064012103,1
t&cs/stop,3
ag,2
4882,2
service.,6
touch,1
bonus!,1
10p/min.,2
companies,1
81303.,1
info@vipclub4u.,1
while.,3
sexy?,1
5226,1
84484,1
chasing,1
wife,1
"callback,",2
>>>more,1
free*,1
previous,1
45239,3
annoncement.,1
partner,4
86688,19
logo,4
you!,24
mid,2
08718730666,2
here!,1
downloads,3
wan,2
lose,1
month,1
"twinks,",1
months?,1
format,1
wk.txt,1
"credit,",1
must,5
4u!:,1
11mths+?,5
free.,11
callcost,2
sang,1
0870..k,2
textpod,2
stars,1
ipod.,3
freefone,4
xxsp,1
explicit,2
call2optout/674,1
entitled,8
phone,34
access,5
80086,2
t&csc,1
promo,1
tone.,2
"81618,",1
records,4
jamster.co.uk!,1
word:collect,1
250,4
www.win-82050.co.uk,2
2morro,1
gamestar,2
re-sub,1
pobox114/14tcr/w1,1
luxury,2
call.,2
using,2
k61.,1
sms.shsex.netun,1
www.sms.ac/u/hmmross,1
xt,1
177.,1
back!,1
kl341.,2
re,9
tomorrow,7
new,69
09064019788,1
bangbabes,1
opt,13
07808,1
videochat,5
09061221061,2
lucozade,2
mobile.,2
hotels,2
88066,3
uk.,4
info@txt82228.co.uk,1
leading,1
"games,",7
�200,9
ipod,7
"savamob,",7
08718727870.,1
flirt!!,1
cant,4
packs,2
nokia6600,2
bt-national-rate,6
wither,1
norm,2
couple,1
gr8prizes,1
suzy,1
shop,6
zouk,1
bedroom,1
charity,7
09066362231,3
kinda,1
"saturday,",2
page,1
growing,2
paris,2
barkleys,1
loans,1
comp.,1
mobileupd8,16
08717898035.,3
09066368327,1
07/11/04,2
"music,",5
mono,2
subscriptn3gbp/wk,1
calls�1/minmobsmore,1
from:,1
"(henry,",1
�5000,19
adam,2
line.,17
"claim,",4
22,1
girl,4
150ppm.,4
energy!,2
0871212025016,1
sp:rwm,1
welcome,4
28,4
oh,1
call2optout/674&,1
villa,1
87121,4
thanks,14
weekly,22
back,20
3.,3
050703,2
hi.,1
"years,",1
award,11
collection,11
community,1
choice,2
press,3
afraid,1
24hrs,1
cancel,5
08448714184,1
concert,1
a-green,1
man,1
poly/true/pix/ringtones/games,1
station,1
replying,6
tried,17
+,18
bx420-ip4-5we.,3
"customer,",5
no-434,1
hot,14
1.50,3
xclusive@clubsaisai,1
skilgme.,3
log,7
forget,2
st,2
fri,2
allow,1
daytime,1
offer:,2
box420.,1
bundle,1
ya,1
gmw,1
lux,1
"7732584351,",1
01223585236,1
totally,1
x49.your,1
barry,1
with:,1
darkest,1
textcomp,1
k52,1
aco&entry41,2
caller,12
wap.,3
club:,4
genuine,3
85,2
sonyericsson,5
award!,6
"09050280520,",1
09061743810,1
cast,1
respond,1
comuk.220cm2,1
acl03530150pm,2
1013,1
"ltd.�1,50/mtmsgrcvd18+",1
rayman,1
"game,",1
offer!,5
16,24
3x�150pw,1
24hrs.,1
news,6
summer,8
filthy,2
celeb!4,2
07801543489,1
stay,3
cost.,1
lost,2
prizeswith..,1
"97n7qp,",1
:getzed.co.uk,1
weeks>,1
my-tone.com/enjoy.,1
now!nyt.,1
help08718728876,2
oncall.,1
21st,2
statement,16
voda,5
bt,5
"aberdeen,",1
"gossip,",1
89693,1
hp20,1
girls,5
lots,2
oz?,2
150p/mt,1
bt-national-rate.,2
park,1
�50-�500.,1
unsubscribed,1
09053750005,1
88039.skilgme.tscs087147403231winawk!age16+�1.50perwksub,1
www.bridal.petticoatdreams.co.uk,1
18p/txt,2
recently,2
09061701851.,1
"glad,",1
ignore,1
"post,",1
*,1
26/11/04,1
apply,15
jamz,1
2000,1
08706091795,1
strokes!,1
ph:08700435505150p,1
trebles!,1
hotel,2
along,1
biggest,3
0,3
mf,1
nos,1
rude,3
ringtones,3
filthyguys.,1
out?,1
"cash,",2
texts/weekend,1
ready!,1
on!,2
"150p/day,",2
mob,17
3680.offer,1
registered,4
balance,2
offers.,2
title,3
"stockport,",6
"skillgame,1winaweek,",1
superb,1
(nat,2
friend.,6
sexy,12
!!!,1
"pobox84,",5
ntt,10
528,1
ls15hb,2
www.flirtparty.us,1
08718726970,1
2nite,1
bin,1
bloomberg.com,2
uve,1
69866.18,2
unsecured?,1
shy!,1
1),1
ec2a.,4
moon's,3
!,8
4*lux,1
arrive,6
monthly,1
sufficient,1
m,1
med,2
friend,5
80082,3
5we.,4
195,1
47,1
gprs,1
wow,1
4217,1
fund,1
failed,1
.....,1
09064017295,1
india,1
shit.,1
valid,23
way.,1
2optout,4
polyphonic,5
hmv1,1
"www.ringtones.co.uk,",4
1/08/03!,1
jst,1
"fones,",1
choose.,1
ltdhelpdesk:,1
0871750.77.11!,2
0796xxxxxx.,1
la1,1
118p/msg,1
president?,1
80878,1
ok!,1
free!,20
sunshine,7
nt.,1
per,44
love,10
28/5,1
t&c:,2
08000407165,2
action,3
now!sky,2
hol,1
resubmit,1
box245c2150pm,1
"mix\"\"",1
cmon,1
month.,1
chatting.,1
http://wap.,1
please,52
gent!,2
top,16
"motorola,",6
ibhltd,3
for.,1
receipt,3
�500.,1
george's,2
hlp,2
draw.....please,1
09061701444.,1
porn,3
promotion,1
**free,1
sparkling,1
recent,3
hear,3
thinks,10
upgrade,3
shag?,1
friends,1
money,3
bloke,1
voicemail.,3
80608.,2
day.,2
wedding,1
450p,1
area!,1
housewives!,2
no>,1
selected,25
reward!,3
wap,7
verify,1
access!,2
cha,2
worth,13
08002888812,2
u've,5
four,1
fraction,1
upto,2
2optout/d3wv,1
1.50p/wk.,1
"skillgame,",2
www.rtf.sphosting.com,1
laid?want,1
increments.,2
akon-lonely>>>,1
animation,1
08712405020,1
planettalkinstant.com,1
enough?,1
rodds1,1
valentines,2
moan,1
pound,6
one,8
cust,4
costing,2
leadership,1
freemsg:feelin,1
09061743811,1
subs,3
i?this,1
ringtoneking,1
poboxox36504w45wq,1
loyalty.,3
motorola,5
txtauction!,2
www.comuk.net,5
day!,3
hg/suite342/2lands/row/w1j6hl,3
pete,1
reach,5
vote.,1
60p/min.,4
pobox12n146tf15,1
61610,2
"1winaweek,",2
response,1
text.,3
help:,1
x49.,1
masked,1
headset,1
giving,1
in2,1
resent,1
"20,000",2
horny,6
ring,4
ppm150,1
08712402779,1
"harry,",2
bcm,1
cnl,1
87131.,1
09050000555.,1
christmas,1
tones2u,2
landlines!,2
noworriesloans.com,1
+�400,1
advisors,1
mobile,109
speak,10
www.07781482378.com,2
year.,1
xxxxxx,1
pocketbabe.co.uk,3
arsenal,3
jsco,1
enjoy!,2
w111wx,4
"restrictions,",1
login,1
rental:,1
msg:we,1
deltomorrow,1
1st4terms,1
god!,1
thesmszone.com,1
question:,1
ben,1
loyal,2
customercare,1
ree,1
"www.shortbreaks.org.uk\"\"\"\"",1
incorrect?,1
125gift,3
rp176781.,1
attempt,21
f,3
http://www.urawinner.com,6
linerental,4
hello,2
titles:,3
2rcv,2
of�2000,2
txt250.com,1
satisfy,2
2nite!.,1
bringing,1
300,3
"repeat,",1
\urgent!,1
yes-762,1
88039.,1
here>>,1
uk,8
congrats!,8
\divorce,1
"order,",6
yeah,1
box95qu,3
area,5
alertfrom:,1
5,6
80062,4
zoe,1
08000776320,2
30apr,1
oranges,2
tariffs,2
become,1
better?,1
amanda,1
normal,1
07808726822,1
msg+ticket@kiosk.valid,1
themob>hit,1
ultimate,1
"trav,",2
tv,3
21/m,1
tell,16
4jx,1
to?,2
"526,",1
31,1
read,1
mobile?,2
08712400603,1
"follows,",1
100,15
comes,3
terms,7
n-gage,1
downloaded,1
mymoby.,1
"150p/msg,",1
girl',1
sing,2
4.49/month,1
�250k,2
83435.,1
str*,1
�50,1
3uz,2
direct,10
18+,15
no1,8
nokias,3
f=,2
(std,5
08718738034.,1
69969,1
�s,1
strong-buy),2
html,1
chat!,1
09066380611,2
18,22
3qxj9,4
posh,1
rate,13
txtin,4
"bray,",2
call2optout/4qf2,1
phone750,1
dorothy@kiefer.com,1
o2fwd,2
u-find,8
united,1
m26,3
bluetooth,8
dating,15
"offer,",4
mystery,1
subscriber,3
takes,4
energy,1
a21.,1
vid,1
69669.,1
9yt,1
http://alto18.co.uk/wave/wave.asp?o=44345,1
floppy...,1
09061790126,1
"name,",1
private!,16
�1,2
content,8
take,14
�1250,2
future,4
"subscriber,",1
n,9
0870241182716,2
optout,5
woman,1
message.,6
2),2
asian,1
ansr,4
150p/msg.,7
.,13
08718727868.,2
poly#,1
10p,13
dating?,1
psychic?,1
09064018838.,1
08001950382,4
a�1.50,1
"aom,",1
symbol,2
cdgt,2
won!,5
gsoh?,1
08715203685,1
mustprovide,1
1winawk!,1
radio,1
$350,1
local.,1
pence,3
credits!,1
0845,3
messages,8
shopping,8
08712404000,1
already,1
fantasies,5
txtauction!txt,2
300p.,1
instant,1
9th,1
400mins...call,1
lotr,2
stop2,1
blow,2
blu,2
07008009200,1
7ws.,1
calling!,2
giv,1
"send,",1
days,6
accommodation,1
09099725823,1
0a$networks,1
weekly!,2
"box139,",1
u4,3
amazing,3
69888,1
"away,",2
"finest,",1
outgoing.,1
09061221066,4
146tf150p,1
12hours,1
mens,1
wallpaper-all,1
wc1n,1
08717205546,1
contacted,5
unsub,5
deck,1
contract.,1
elvis,1
chat80155,1
logos+musicnews!,1
no:83355!,1
cc100p/min,1
super,3
porn!,1
150ppmpobox10183bhamb64xe,1
processed...,1
09066649731from,1
txt:,11
07815296484,1
g2,1
150p/mtmsg,2
1.50p,1
wrc,2
(book,2
plus,7
www.orange.co.uk/ow,1
07786200117,2
great,10
services.,4
wrote.,1
85555,1
0870737910216yrs,1
150p/tone,1
rcvd,2
mat,1
08708034412,2
09061702893.,1
day!2,1
6hl,2
"number,",1
only.,7
six,3
txt>,2
"starwars3,",3
guaranteed,29
"phone,",4
cs,9
lines,2
apply.2,1
quiz.,2
auction.,5
logos,1
keyword,1
150p/mtmsgrcvd18,2
http://gotbabes.co.uk.,1
met,1
08717890890�1.50,1
08719181259,1
dialling,1
chances,2
or2stoptxt,3
w45wq,6
today,6
'uptown,1
pics,10
o2.co.uk/games,2
"ldn,",1
"sae,",6
news!,3
passion,1
gettin,2
dozens,1
created,1
bcmsfwc1n3xx,1
burger,2
wants,1
goodies!,1
087147123779am-7pm.,1
s3xy,1
free>ringtone!,1
band,1
left,1
wot,1
cash,56
1st,26
kept,3
(10p/min).,2
settings.,3
09065394973,1
gift.,2
1000s,3
loads,1
1131,1
[colour=red]text[/colour]txtstar,1
spanish,2
"night,",1
me?,1
arcade.,2
7zs,1
-pls,1
�250,14
69888nyt.,1
age16,3
soiree,1
doubletxt,1
replys150,1
09096102316,1
purchase,3
eye,2
12mths,2
buffy.,1
refunded.this,1
cost�3.75max,1
www.clubzed.co.uk,1
deepest,1
&cs,1
2025050,1
"v,",3
mob?,2
svc.,1
years,6
answer,8
xxuk,1
0825,2
reminder:,1
lucky,8
euro,3
types,1
326,2
saturday!,2
e.g,1
unable,2
sending,2
action.,1
http//tms.,1
may,7
link,6
yr,11
female,1
ads,2
calls,8
"�75,000.",3
+123,2
89555.,1
08719899217,1
cheap,4
82242,3
tour.,1
24/7mp,1
messages-text,1
inclusive,5
package,1
28th,1
vatian,1
needs,1
08712460324(nat,1
question(std,2
fun,7
ice,1
todays,17
numbers,9
hide,1
150p,20
visit,7
<forwarded,4
mobsi.com,1
29/03/05,1
drinks,2
europe,1
shortcode,1
3)unkempt.,2
"\"you",1
mths,2
attempt.,1
lccltd,2
team,1
msgs,5
08000938767,3
welcome.,4
lapdancer.,1
0578,2
php.,1
tulip,2
sender:,1
warm,2
classic,1
days.,5
09061104276,1
09066364311,2
away!!,1
pm,1
charged,11
contact,56
cd,8
apply.,13
#5000,3
2006,1
y87.,1
83332.please,1
maximum,1
parties...,1
txt,136
89545,3
"quiz,",1
11mths,4
close,2
"�2,000",11
chaps,1
�350!,2
held?,1
w/c,1
4goten,1
www.asjesus.com,1
09058094454,1
\stop,1
"there,",1
\3000,1
pobox75ldns7,1
http://www.wtlp.co.uk/text.,1
*billing,1
proze,1
08715205273,1
miss,7
hmv,10
1x150p/wk,3
immediately,5
realize,1
"stop,",3
requests,1
calls�1/minmoremobsemspobox45po139wa,2
area?,1
1/2price,1
150p/rcvd,1
ntwk,4
2exit.,1
carlie,1
valentine's,1
dial,1
78,1
<fone,1
40411,1
l8er,1
detroit,1
�1000,33
69698,2
do.interested?,1
vary,5
notice,3
old,2
prescripiton,1
07821230901,2
wanna,10
p�3.99,2
marketing,1
msg150p,2
pm.,1
min.,4
(mob,1
21870000>hi,2
sport,3
lkpobox177hp51fl,1
02073162414,2
450pw,1
free,178
next,16
chat,39
ringtone!,1
special!,2
mins,24
pin,1
4t&ctxt,2
price!,1
however,1
picsfree1,2
27/6/03.,1
stopcost,1
rings:return,1
mths?,2
spam,1
mins/texts.,1
network,23
10ppm.,2
help:08712400602450p,2
***************,1
text:,1
babygoodbye,1
definitely,1
lyricalladie(21/f),1
1000,4
�150,9
25p,6
poly.,2
ibh,2
mins&100txt/mth,1
nasty,1
thing,1
slo(4msgs),1
6,3
310303.,1
know!,3
issues,2
�10),1
wamma,1
08712466669,1
graphics,1
sexychat,1
09064015307,1
www.gamb.tv,1
-msg,1
names,2
spree,6
�1.50pmmorefrommobile2bremoved-mobypobox734ls27yf,1
(100p/sms),1
now!savamob-member,1
09064011000.,2
is?,2
boys,1
8552,2
tv.,2
active,2
removal,2
night,3
knickers,1
2nights,1
secured,1
logon,1
2667,1
v,2
eurodisinc,2
go,27
today!from,2
tones,24
sw7,2
life,3
cashto,2
peak!,2
m95.,2
lions,2
readers!,2
call2optout/lf56,2
london,4
club.,1
matches.,2
whose,1
www.tkls.com,1
u�۪ve,1
"1)unbreakable,",2
"1,2",2
txtauction.,1
xxxmobilemovieclub:,1
08000930705,14
85069,2
85023,7
xmas?,1
e,2
original,4
09090900040,1
yer,4
horniest,1
today?,1
"sleepingwith,",1
feb,1
billed,3
t's,3
bloomberg,2
"89123\"\"\"",1
08715705022,1
09058095201,1
co,5
dvd,6
replied,1
blind,2
themob>,1
�1450,3
"�5000,",1
08719181503,1
89693.,1
5we,1
stamped,2
call2optout/j,1
late,1
09066364349,1
wildest,1
�1.50.,1
08715203656,1
2005.,3
download,3
t&csbcm4235wc1n3xx.,2
8007,21
sk3,3
08718720201,5
dot,2
16+only,1
"tom,",1
camera.,1
enough,1
charges,2
polo,2
o,1
"\\mix\"\"",2
"not,",1
roses,1
+449071512431,1
08707808226.,1
over.,3
claim.,3
call2optout/!yhl,1
fromm,4
missed,2
09050000460,1
enter.,1
177,1
suprman,3
(flights,4
dogging,11
goto,6
check,4
user,5
"racal,",1
"landline,",2
global,1
artists.,1
im,5
"uk,",2
2end,2
2u,1
yet.,1
"jordan,",1
chik.,1
terms.,1
"big,",1
holiday!,1
collected.,2
0871-872-9755,1
dirty,1
knows,1
monos,1
2px,1
www.txt82228.com.,1
"28,",1
http://www.e-tlp.co.uk/reward.,1
deliveredtomorrow?,3
http://careers.,2
&xxx,1
round,1
abuse???,1
09065171142-stopsms-08718727870150ppm,1
nokia,64
end,10
"matrix3,",3
nothing,2
congratulations,12
matches,6
drvgsto,1
ok,4
calls�1/minmobsmorelkpobox177hp51fl,2
minute.,5
weekend's,2
anonymous,1
strings,1
capital,1
13/4/04.,1
09061701461.,2
sp:tyrone,4
entered,6
help.,3
09061749602,1
"08712405022,",2
official,5
�1.50/week.,1
2wks,1
indicate,2
us.,1
"8800,",1
08712460324,7
people,3
"out,",2
2day,4
rt-king,1
r836.,1
slo,1
83383,1
sorry!,1
club!,2
booking,1
skins,1
easy.,2
bad,1
norcorp,1
skip,1
"sugababes,",1
entry,26
pobox,16
09064012160.,2
refused?,3
http://www.e-tlp.co.uk/expressoffer,2
448712404000>please,1
"087018728737,",1
collection.,15
beg,1
83383.,1
lover,2
09050002311,2
rate.,1
remove,4
"marley,",1
enjoy,8
asap!,5
married,2
charge),2
pdate_now,1
passes,1
(get,1
08701213186.,1
"6days,",2
use,8
ls1,2
sony,6
447801259231,2
"?2,000",2
admirer.,2
games,8
somebody,2
c52.,2
completely,1
call:,1
0871-4719-523,1
08719899230,1
rply,5
starts,4
08718726971,1
adult,4
505060,1
adrian,1
09066660100,1
stopcs,1
real1,1
08715203649,1
had.,2
goal,1
pink,1
mobiles,10
cost,22
85222,1
88222,2
yesterday!,1
wish.,2
claire,2
@,5
150ppermesssubscription,2
tarot,1
pt2,2
hrs,1
in.,1
09066368470,1
mobstorequiz10ppm,1
"bob,",1
89070,2
w8in,1
week's,4
red,1
end?,2
following,5
2004,5
real,12
flyng,1
80878.,2
flights,2
box403,1
(150p/sms),1
28days.,2
"munsters,",2
now!4t&,2
3pound,1
"\\polys\"\"",1
jorge-shock..,1
150p.,2
season,1
reminder,1
08452810075over18's,2
150pm.,3
4041,1
www.sms.ac/u/bootydelious,1
300603,2
p,3
"activate,",1
pro,1
aom,1
www.idew.com,2
messaging,2
snap,1
7876150ppm,2
request,1
sat,2
triple,1
garden,2
wings,1
live,26
babes,2
poly,14
08718738001,2
88800,1
tscs087147403231winawk!age16,2
87021.,3
gold,1
busty,1
going,4
word:start,2
rate),6
vary).,1
everyone,2
stdtxtrate.,1
www.sms.ac/u/nat27081980,2
cup,5
more?,2
identifier,16
app,4
cc:,5
3mins,4
"5k,",2
fancies,3
chatting!,1
d,2
txtauction,1
2channel,1
09111030116.,1
listening,1
eng,4
king,3
thnq,1
1-month,1
"8pm,",1
"7,",1
fun.,1
upgrading,1
challenge,1
fgkslpopw,1
player,12
questions.,3
ldnw15h,3
nichols,1
email,2
�79,1
city,3
bid,6
"texts,",1
nearly,1
yo-here,1
09066612661,3
kit,1
mnths?,2
support,2
08717507382,1
offer,13
ave,3
boltblue,1
birds,1
"you,",3
in!,1
self,2
k718.,1
video.,1
"ab..,",1
night?,1
minutes,5
chg,1
rate)t&c's,2
unsubscribe,16
mobno,2
box326,2
poly3,1
conditions,2
t's&c's,5
euro2004,5
helpline,2
ppt150x3+normal,1
jamster,1
saucy,3
cr9,7
*****,1
charge,2
dark,1
+447797706009,2
$5.00,2
willing,1
ringtone!from:,1
loan?,1
strip,1
lets,1
83738.,1
cashbin.co.uk,1
breaks,1
24m,1
latest,36
prize!,13
"2004,",3
daily.,4
m263uz.,4
88600,2
08714712379,1
���,1
call2optout/hf8,1
msg@�1.50rcvd,1
13/10/04,1
\for,1
darling,2
xxx,10
81010,2
-,55
year,5
music,15
150p/wk,1
16+.,3
tone!,1
40,2
unclaimed!,1
sexy!!,1
liverpool,3
1yf,1
sw73ss,2
www.music-trivia.net,1
draw.,1
7634,1
match,6
stop?,7
double,17
dave,2
wed,1
www.smsco.net,2
08718730555,1
ny-usa,1
callfreefone,2
smart..though,1
baby!,1
"�1.50/wk.\"\"\"",1
teenager,1
30pp/txt,2
thurs,1
b-blue,1
"a,",2
smashed,1
charged@150p/msg.2,1
etc,4
laid,3
25,2
weeks,8
08715203694,1
break,4
jane,1
bahamas!,2
cruise,2
09065069120,1
mob!,1
84199.,2
09061744553,2
"landmark,",1
373,2
freeentry,1
u.,18
alerts,1
09066350750,2
"stereophonics,",1
kickoff!,2
09050000301.,1
bored,4
operator.,1
win150ppmx3age16,1
msgs.,1
60p,1
qlynnbv,1
sky,4
"now!\"\"\"",1
items,1
09071512432,1
yards,1
u!,8
www.4-tc.biz,3
kingdom.,1
09066382422,2
pole.,1
8077,2
"now,",2
box177.,2
80160,1
whats,1
bought,1
eerie,5
fone,3
stadium?,1
08000930705.,2
e14,1
5.,1
simpsons,1
02,1
queries,1
m227xy.,2
unlimited,10
gbp1.50/week,1
www.txttowin.co.uk,2
8.,1
foley,2
minded,1
done!,2
private,2
football,2
44,1
things,2
g.b.,1
badass,1
changed!,1
09111032124,1
thought,1
played,2
"113,",2
gotto,1
westlife,2
83049.,2
august,1
movie,1
"day,",2
"don't,",2
yes-165,1
customersqueries@netvision.uk.com,1
colour,17
ending,8
networks,2
choose,9
pobox36504w45wq,5
swap,1
69911(�1.50p.,1
5),2
09063442151,1
0870753331018+,1
becausethey,1
women,1
"69855,",1
sent.,1
08707500020,1
customers,2
award.,11
content.,5
closingdate04/09/02,1
41685,2
1.5p/min,2
janinexx,1
[sic],1
80182,3
done,2
(more,1
09066358361,1
��harry,1
film?,1
3lions,1
/,1
receive,33
unredeemed,4
freephone,8
msg.,4
enter,9
008704050406,2
08712402902,1
1x150p/wk.,2
"driving,",1
polys.,1
"2)untamed,",2
cst,1
eyed-dont,1
www.cashbin.co.uk,1
(�4.50),1
www.dbuk.net,2
tonight?,2
s89.,1
reference,4
eve,3
"high,",1
7250,2
09058094599,2
sp,3
09099726553,1
�71.,1
cool-mob,1
vco,1
national,12
yours.,8
9am-11pm,4
find,23
really,1
charge.,6
i.,9
sex.,1
care,4
trackmarque,1
subscribe,1
82277.unsub,2
"\"free",2
flight,1
2/2,1
brings,1
current,2
0906346330.,1
wallpaper,2
august.,1
vouchers,18
3030.,7
activate,4
sun0819,1
posts,1
�1.50perwksub,2
zed,5
libertines,1
digital,8
88600.,1
sale,2
finally,1
moby,3
you!to,1
"easy,",8
hvae,1
"chat,",1
08714714011,1
"lonely,",1
now!reply,1
block,1
golf,1
due,2
care:,1
ll,1
want,29
date,9
box,30
week.,3
removed,1
cum,3
02/06/03!,4
prompts.,2
"xchat,",1
5free.,2
messages..im,1
recpt,1
www.telediscount.co.uk,1
goals/team,1
country,4
text?,4
prods,1
till,3
e=,2
lily,2
09058091854,2
brand,4
ten,1
include:,2
luck.,1
gravel,1
cal;l,1
competition,3
09061743806,2
07946746291/07880867867,1
89034,1
09058094565,2
sexual,1
wow!,1
accessible.,1
"50\"\"\"\"",1
police,1
wml?id=820554ad0a1705572711&first=true��c,1
cash!,2
hardcore,2
see,18
looking,9
87066,13
rcvd.,5
mono#,1
call09050000327,1
off!,2
bluetoothhdset,1
83222.,2
4fil,2
box39822,4
scoring,2
town,2
network.,2
0789xxxxxxx.,1
ripped,1
meal,1
ve,2
win,58
correct,4
18+6*�1.50(morefrmmob.,2
age,7
08700621170150p,2
followed,3
sim,2
t&cs,19
xx,4
ill,1
ls278bb,1
me?',1
high,2
breathe1,1
gbp/week!,1
films,2
09058091870,1
),2
7684,1
cops,1
08719899229,1
reply,101
"stuff!\"\"\"",1
0800,13
sent,9
flirt,2
voucher,13
polyph,3
awaiting,8
virgins,1
84128,2
c's,3
lionp,2
bahamas,2
logo/pic,2
ltd.,2
fink,1
on.,1
tour?,2
game!,2
-call,1
panther,1
csh11,2
q!,4
order,8
rental,8
80062.,1
special.,2
09063440451,1
british,2
"wanting,",1
85233,1
�1/minmobsmorelkpobox177hp51fl,1
mailbox,2
2stoptxt,3
wml?id=1b6a5ecef91ff9*37819&first=true18:0430-jul-05,1
word,13
click,5
ac,4
simply,3
30th,1
31/10/04,2
textoperator,3
sale!,2
revealed.,5
ans.,2
onto,7
���harry,1
karaoke,1
2007,2
09041940223,1
pobox365o4w45wq,1
08712400200.,1
